number,hash_id,report_id,hash,pulses,sha1,ssdeep,sha256,md5,adobemalwareclassifier,apk,avast,avg,clamav,cuckoo,disa_entrypoint,exiftool,machoinfo,msdefender,metaextract,pe32info,peanomal,ratdecoder,strings,yarad,zipfiles
0,34524,35665,920dffe40787f1f3fdb24548b4a210db,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,51,146,5bbadba381d1810359703d2d76d843c98c2eb34d,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,21,66,472e5fcc7dc1228779e7c0c06f6c1c584e527059,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,34488,35665,7e75928b5ce3dd41c9b9b1e67cff16d6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,70121,50788,5c3456d5932544b779fe814133344fdb,11,7ab750afb25457a81c27a98dc6dfd51c27e61b0e,6144:JEegh5mqyhE943o9iDPEsXo0YKXh7tjLFD35R5FtX2o5tvv:2egh4qyhE90o9iXlYCDJRlX1t,5881d307ad1b7ac72daf7ab5dd3f72a278ae4bda0a61e25f86940540250c3dce,5c3456d5932544b779fe814133344fdb,1,plugin not detected,2,plugin not detected,0,8,1,30,plugin not detected,2,0,13,2,Null Case,1926,1,plugin not detected
5,66392,47929,53f3e55c1217dafb8801af7087e7d68b605e2b6dde6368fceea14496c8a9f3e5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,66373,47929,e8cf9b04ba7054e1c34bda05106478f9071f8f6569b4822070834abbf8e07a95,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,7,14,2ea061c6549f13c77b271acdc456c217f44b514a,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,50,139,6f638bf02b17d979a3cb6d177b07d287,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,34526,35665,9327f1eefb18fde7f622fc2efbbbdb4b,0,1bf58f95f91adff3b52eb5a84fb4c00aefc1c15d,1536:Wra6X/wQBb6QDGF1XjE4LmIYZcGAjBx8pBL3yZnaeJkHTkIb:maEFBb6WGjXjE4LmJTwBx8p5yZaeJkHZ,c270d890bd1c1a27368144d8863a2cb60c1d768ddcf452524046beb15dce3651,9327f1eefb18fde7f622fc2efbbbdb4b,1,plugin not detected,0,plugin not detected,2,12,1,13,plugin not detected,2,0,13,2,plugin not detected,255,1,plugin not detected
