number,hash_id,report_id,hash,pulses,earliest_pulse_date,recentmost_pulse_date,plugin_amount,analysis_date
0,34524,35665,920dffe40787f1f3fdb24548b4a210db,0,NA,NA,NA,NA
1,51,146,5bbadba381d1810359703d2d76d843c98c2eb34d,0,NA,NA,NA,NA
2,21,66,472e5fcc7dc1228779e7c0c06f6c1c584e527059,0,NA,NA,NA,NA
3,34488,35665,7e75928b5ce3dd41c9b9b1e67cff16d6,1,2017-02-20,2017-02-20,NA,NA
4,70121,50788,5c3456d5932544b779fe814133344fdb,11,2018-05-23,2022-01-27,13,2018-06-08
5,66392,47929,53f3e55c1217dafb8801af7087e7d68b605e2b6dde6368fceea14496c8a9f3e5,3,2021-01-26,2021-04-15,NA,NA
6,66373,47929,e8cf9b04ba7054e1c34bda05106478f9071f8f6569b4822070834abbf8e07a95,3,2021-01-26,2021-04-15,NA,NA
7,7,14,2ea061c6549f13c77b271acdc456c217f44b514a,0,NA,NA,NA,NA
8,50,139,6f638bf02b17d979a3cb6d177b07d287,0,NA,NA,NA,NA
9,34526,35665,9327f1eefb18fde7f622fc2efbbbdb4b,0,NA,NA,13,2021-11-27
10,66359,47929,70e1f774c0c80e988641d709d3a6990193e039b1ce618ceaacc1d61a850e9b76,3,2021-01-26,2021-04-15,NA,NA
11,66368,47929,aeb6fb0ba6d947b4ee67a5111fbdf798c4488377ae28bdf537c1f920a58785b7,3,2021-01-26,2021-04-15,NA,NA
12,34516,35665,8d3a6b78118b647a7f31f06a46c27fd4,0,NA,NA,NA,NA
13,70165,50803,2fa06333188795110bba14a482020699a96f76fb1ceb80cbfa2df9d3008b5b0a,16,2021-03-02,2021-10-28,NA,NA
14,70152,50798,1fb12e923bdb71a1f34e98576b780ab2840ba22e,31,2021-02-18,2022-03-03,13,2021-05-26
15,34493,35665,80ba5a336a4044c1406774d56e130e7e,0,NA,NA,NA,NA
16,34490,35665,7f90942ace185ca1ba5610f6eddf3376,1,2017-02-20,2017-02-20,NA,NA
17,96,352,3a1ce8c3994186e776128d3f32e5a613a720c12b,0,NA,NA,NA,NA
18,66380,47929,0a2d81164d524be7022ba8fd4e1e8e01bfd65407148569d172e2171b5cd76cd4,3,2021-01-26,2021-04-15,NA,NA
19,34521,35665,8fbbf38c053dbb0da3dd2fd6af4869d2,1,2017-02-20,2017-02-20,NA,NA
20,18,59,9efa2e4b63456a124160bb5867af1972a46cd40f,0,NA,NA,NA,NA
21,34,83,e6aba7629608a525b020f4e76e4694d6d478dd9561d934813004b6903d66e44c,3,2018-01-16,2022-01-21,10,2017-11-10
22,62,200,55d7b8a2e9b27494eb33634775cb1442a64121f7,0,NA,NA,NA,NA
23,83,298,e5474ed04dfbd3b04f38f54d94536026c5df386b,0,NA,NA,NA,NA
24,70138,50792,a482a84d13c76b950ce5bc7e75f4edef,4,2017-01-30,2018-11-21,13,2017-11-15
25,70154,50798,ee42ddacbd202008bcc1312e548e1d9ac670dd3d86c999606a3a01d464a2a330,31,2021-02-18,2022-03-03,13,2021-05-26
26,34517,35665,8dc7eb49fe1fbf490f90c153a71c60a5,1,2017-02-20,2017-02-20,NA,NA
27,70145,50798,1c3b8ae594cb4ce24c2680b47cebf808,31,2021-02-18,2022-03-03,13,2021-05-26
28,18,1,http://www.analysis.seclab.tuwien.ac,0,NA,NA
29,34518,35665,8e2e709c01ccb286c51ac9e592eea48a,0,NA,NA,NA,NA
30,70179,50805,dd411e6307f8142a8b67173748e4a46c8a2af654,0,NA,NA,NA,NA
31,8,16,65dd28288686658b2d9dc87421f51643829ae64b,0,NA,NA,NA,NA
32,70119,50788,92942c54224cd462dd201ae11a560bb8,9,2018-05-23,2022-01-27,10,2018-06-08
