report_id,ip_id,ip,reputation,pulses,pulse_id,pulse_creation_date,pulse_modification_date
1,4,212.124.118.78,0,0,NA,NA,NA
2,7,87.98.184.231,0,0,NA,NA,NA
3,15,22.250.166.222,0,0,NA,NA,NA
4,15,167.156.220.15,0,0,NA,NA,NA
5,17,22.250.166.222,0,0,NA,NA,NA
6,17,167.156.220.15,0,0,NA,NA,NA
7,47,62.4.84.56,0,0,NA,NA,NA
8,47,69.31.80.180,0,0,NA,NA,NA
9,47,69.31.80.179,0,0,NA,NA,NA
10,47,72.247.31.80,0,0,NA,NA,NA
11,47,65.54.225.100,0,0,NA,NA,NA
12,47,85.17.166.172,0,0,NA,NA,NA
13,63,88.80.7.152,0,0,NA,NA,NA
14,66,185.6.80.139,0,0,NA,NA,NA
15,83,79.3.197.89,0,5,5ee7731c5cb9afc265d2b6bb,2020-06-15,2020-07-15
15,83,79.3.197.89,0,5,5ee3379283536b69ca07d62b,2020-06-12,2020-07-12
15,83,79.3.197.89,0,5,5a79d3f0ef6ed26334bf56ec,2018-02-06,2018-02-06
15,83,79.3.197.89,0,5,5a61a2f8924cca7b39c15d4d,2018-01-19,2018-01-19
15,83,79.3.197.89,0,5,5a5f4dc4e8a2b73ecf74b5a0,2018-01-17,2018-01-17
16,83,217.194.13.133,0,5,5ee7731c5cb9afc265d2b6bb,2020-06-15,2020-07-15
16,83,217.194.13.133,0,5,5ee3379283536b69ca07d62b,2020-06-12,2020-07-12
16,83,217.194.13.133,0,5,5a79d3f0ef6ed26334bf56ec,2018-02-06,2018-02-06
16,83,217.194.13.133,0,5,5a61a2f8924cca7b39c15d4d,2018-01-19,2018-01-19
16,83,217.194.13.133,0,5,5a5f4dc4e8a2b73ecf74b5a0,2018-01-17,2018-01-17
17,86,82.146.54.187,0,2,5ebc1c343122885596d69829,2020-05-13,2020-06-15
17,86,82.146.54.187,0,2,57e3de1f88f82a0f117c6939,2016-09-22,2016-09-22
18,90,46.161.20.36,0,0,NA,NA,NA
19,90,69.50.214.53,0,0,NA,NA,NA
20,90,69.50.214.54,0,0,NA,NA,NA
21,90,69.50.214.57,0,0,NA,NA,NA
22,90,86.55.210.10,0,0,NA,NA,NA
23,90,91.200.241.20,0,0,NA,NA,NA
24,90,91.200.241.200,0,0,NA,NA,NA
25,90,91.213.217.3,0,0,NA,NA,NA
26,90,91.213.217.30,0,0,NA,NA,NA
27,90,95.64.55.5,0,0,NA,NA,NA
28,90,178.17.162.117,0,0,NA,NA,NA
29,90,178.17.164.6,0,0,NA,NA,NA
30,97,199.71.233.126,0,0,NA,NA,NA
31,97,83.133.127.200,0,0,NA,NA,NA
32,99,146.185.220.23,0,0,NA,NA,NA
33,99,195.20.141.72,0,1,5fbde015f8687b861b1efdfc,2020-11-25,2020-12-25
34,101,91.121.151.137,0,0,NA,NA,NA
35,124,80.74.135.131,0,0,NA,NA,NA
36,126,6.3.1.8,0,0,NA,NA,NA
37,128,173.192.182.45,0,0,NA,NA,NA
38,129,152.160.131.83,0,0,NA,NA,NA
39,133,23.66.199.15,0,0,NA,NA,NA
40,146,50.16.5.200,0,0,NA,NA,NA
41,165,81.95.145.241,0,0,NA,NA,NA
42,168,220.196.42.133,0,0,NA,NA,NA
43,168,64.120.147.197,0,0,NA,NA,NA
44,247,222.175.169.73,0,0,NA,NA,NA
45,265,222.77.178.218,0,0,NA,NA,NA
46,268,255.255.255.255,0,0,NA,NA,NA
47,272,6.3.1.8,0,0,NA,NA,NA
48,272,6.8.0.19,0,0,NA,NA,NA
49,275,195.24.76.250,0,0,NA,NA,NA
50,275,67.215.237.98,0,0,NA,NA,NA
51,275,67.215.246.34,0,0,NA,NA,NA
52,275,94.229.65.172,0,0,NA,NA,NA
53,287,93.183.194.17,0,0,NA,NA,NA
54,288,6.3.1.8,0,0,NA,NA,NA
55,294,22.250.166.222,0,0,NA,NA,NA
56,294,167.156.220.15,0,0,NA,NA,NA
57,303,22.250.166.222,0,0,NA,NA,NA
58,303,167.156.220.15,0,0,NA,NA,NA
59,305,212.124.118.78,0,0,NA,NA,NA
60,306,22.250.166.222,0,0,NA,NA,NA
61,306,167.156.220.15,0,0,NA,NA,NA
62,313,64.16.211.143,0,0,NA,NA,NA
63,321,22.250.166.222,0,0,NA,NA,NA
64,321,167.156.220.15,0,0,NA,NA,NA
65,328,85.255.119.242,0,0,NA,NA,NA
66,391,50.7.248.170,0,0,NA,NA,NA
67,404,89.119.67.154,0,0,NA,NA,NA
68,427,213.155.21.32,0,0,NA,NA,NA
69,469,200.63.46.49,0,0,NA,NA,NA
70,472,93.174.95.145,0,0,NA,NA,NA
71,474,70.85.221.10,0,4,553ab37ab45ff51538148b1d,2015-04-24,2017-08-24
71,474,70.85.221.10,0,4,58834a69241f2e54f0a14a71,2017-01-21,2017-12-24
71,474,70.85.221.10,0,4,58d7fe903789f47f5115471f,2017-03-26,2017-08-23
71,474,70.85.221.10,0,4,572274584927d701616fa5c7,2016-04-28,2016-04-28
72,480,128.100.195.241,0,0,NA,NA,NA
73,480,128.100.195.250,0,0,NA,NA,NA
74,480,141.251.30.134,0,0,NA,NA,NA
75,480,161.53.97.57,0,0,NA,NA,NA
76,480,185.4.124.170,0,0,NA,NA,NA
77,480,193.158.240.10,0,0,NA,NA,NA
78,480,193.222.73.227,0,0,NA,NA,NA
79,480,193.28.233.32,0,0,NA,NA,NA
80,480,193.47.246.76,0,0,NA,NA,NA
81,480,195.186.145.42,0,0,NA,NA,NA
82,480,195.222.21.12,0,0,NA,NA,NA
83,480,212.143.95.24,0,0,NA,NA,NA
84,480,212.227.15.171,0,3,6261cdbea0bb54792ef9ac53,2022-04-21,2022-05-21
84,480,212.227.15.171,0,3,5fda009fe5017f2e4afe3fc2,2020-12-16,2021-01-12
84,480,212.227.15.171,0,3,5e44b02f785d60473aeb842e,2020-02-13,2020-03-14
85,480,212.227.15.188,0,2,6261cdbea0bb54792ef9ac53,2022-04-21,2022-05-21
85,480,212.227.15.188,0,2,5fda009fe5017f2e4afe3fc2,2020-12-16,2021-01-12
86,480,212.227.17.162,0,4,60637f141cda4877a64d0872,2021-03-30,2022-01-31
86,480,212.227.17.162,0,4,6146e0e8a6289a9c1b4cfcf7,2021-09-19,2022-01-31
86,480,212.227.17.162,0,4,615696109ed5c430462f1491,2021-10-01,2021-12-01
86,480,212.227.17.162,0,4,615695f9ba0dbf75c87abfe9,2021-10-01,2021-11-28
87,480,46.30.211.89,0,0,NA,NA,NA
88,480,5.149.171.178,0,0,NA,NA,NA
89,480,78.142.182.76,0,0,NA,NA,NA
90,480,80.150.9.158,0,0,NA,NA,NA
91,480,80.74.157.171,0,1,5c60fd5fcdc7d8238d8ca44a,2019-02-11,2019-02-11
92,480,81.19.149.32,0,0,NA,NA,NA
93,480,86.35.0.126,0,0,NA,NA,NA
94,480,88.116.214.146,0,0,NA,NA,NA
95,480,91.250.66.120,0,0,NA,NA,NA
96,485,111.221.115.86,0,0,NA,NA,NA
97,485,128.100.195.241,0,0,NA,NA,NA
98,485,128.100.195.250,0,0,NA,NA,NA
99,485,132.245.210.12,0,0,NA,NA,NA
100,485,132.245.210.9,0,0,NA,NA,NA
101,485,132.245.226.50,0,0,NA,NA,NA
102,485,132.245.229.146,0,0,NA,NA,NA
103,485,132.245.229.162,0,0,NA,NA,NA
104,485,132.245.229.178,0,0,NA,NA,NA
105,485,141.251.30.134,0,0,NA,NA,NA
106,485,157.56.251.217,0,0,NA,NA,NA
107,485,157.56.251.220,0,0,NA,NA,NA
108,485,157.56.255.226,0,0,NA,NA,NA
109,485,157.56.255.54,0,0,NA,NA,NA
110,485,157.56.255.57,0,0,NA,NA,NA
111,485,157.56.96.123,0,0,NA,NA,NA
112,485,157.56.96.156,0,1,604bb13aeea9ebd896595b45,2021-03-12,2021-09-08
113,485,161.53.97.57,0,0,NA,NA,NA
114,485,185.4.124.170,0,0,NA,NA,NA
115,485,193.158.240.10,0,0,NA,NA,NA
116,485,193.222.73.227,0,0,NA,NA,NA
117,485,193.28.233.32,0,0,NA,NA,NA
118,485,193.47.246.76,0,0,NA,NA,NA
119,485,195.186.145.42,0,0,NA,NA,NA
120,485,195.222.21.12,0,0,NA,NA,NA
121,485,212.143.95.24,0,0,NA,NA,NA
122,485,212.227.15.171,0,3,6261cdbea0bb54792ef9ac53,2022-04-21,2022-05-21
122,485,212.227.15.171,0,3,5fda009fe5017f2e4afe3fc2,2020-12-16,2021-01-12
122,485,212.227.15.171,0,3,5e44b02f785d60473aeb842e,2020-02-13,2020-03-14
123,485,212.227.15.188,0,2,6261cdbea0bb54792ef9ac53,2022-04-21,2022-05-21
123,485,212.227.15.188,0,2,5fda009fe5017f2e4afe3fc2,2020-12-16,2021-01-12
124,485,212.227.17.162,0,4,60637f141cda4877a64d0872,2021-03-30,2022-01-31
124,485,212.227.17.162,0,4,6146e0e8a6289a9c1b4cfcf7,2021-09-19,2022-01-31
124,485,212.227.17.162,0,4,615696109ed5c430462f1491,2021-10-01,2021-12-01
124,485,212.227.17.162,0,4,615695f9ba0dbf75c87abfe9,2021-10-01,2021-11-28
125,485,46.30.211.89,0,0,NA,NA,NA
126,485,5.149.171.178,0,0,NA,NA,NA
127,485,65.55.242.252,0,0,NA,NA,NA
128,485,78.142.182.76,0,0,NA,NA,NA
129,485,80.150.9.158,0,0,NA,NA,NA
130,485,80.74.157.171,0,1,5c60fd5fcdc7d8238d8ca44a,2019-02-11,2019-02-11
131,485,81.19.149.32,0,0,NA,NA,NA
132,485,86.35.0.126,0,0,NA,NA,NA
133,485,88.116.214.146,0,0,NA,NA,NA
134,485,91.250.66.120,0,0,NA,NA,NA
135,499,120.72.85.141,0,0,NA,NA,NA
136,521,74.54.28.74,0,0,NA,NA,NA
137,522,217.170.77.150,0,0,NA,NA,NA
138,539,200.75.129.249,0,0,NA,NA,NA
139,543,181.174.112.74,0,1,5f928dbcad67e6227e78938c,2020-10-23,2022-06-13
140,543,178.116.83.49,0,5,5f928dbcad67e6227e78938c,2020-10-23,2022-06-13
140,543,178.116.83.49,0,5,6196d23df3fdcd56c180ab57,2021-11-18,2022-03-09
140,543,178.116.83.49,0,5,5d9552e2c30b6ffe9aa1884b,2019-10-03,2021-06-30
140,543,178.116.83.49,0,5,5becc9463fe6dd387b464400,2018-11-15,2018-11-15
140,543,178.116.83.49,0,5,5ba99b6a43fcc0088f7c3e48,2018-09-25,2018-09-25
141,543,182.50.64.148,0,7,5f928dbcad67e6227e78938c,2020-10-23,2022-06-13
141,543,182.50.64.148,0,7,6196d23df3fdcd56c180ab57,2021-11-18,2022-03-09
141,543,182.50.64.148,0,7,5d9552e2c30b6ffe9aa1884b,2019-10-03,2021-06-30
