report_id,ip_id,ip,reputation,pulses,earliest_pulses_datetime,total_malwares,earliest_malware_datetime,recentmost_malware_datetime,total_urls,earliest_url_datetime,recentmost_url_datetime
4,1,212.124.118.78,0,0,NA,0,NA,NA,0,NA,NA
7,2,87.98.184.231,0,0,NA,4,2016-02-28,2016-03-29,4,2014-11-13,2020-03-05
15,3,22.250.166.222,0,0,NA,0,NA,NA,0,NA,NA
15,4,167.156.220.15,0,0,NA,0,NA,NA,0,NA,NA
17,5,22.250.166.222,0,0,NA,0,NA,NA,0,NA,NA
17,6,167.156.220.15,0,0,NA,0,NA,NA,0,NA,NA
47,7,62.4.84.56,0,0,NA,1,2016-01-09,2016-01-09,1,2021-04-25,2021-04-25
47,8,69.31.80.180,0,0,NA,2,2015-07-01,2016-05-17,1,2020-12-02,2020-12-02
47,9,69.31.80.179,0,0,NA,0,NA,NA,7,2012-06-22,2013-03-09
47,10,72.247.31.80,0,0,NA,0,NA,NA,0,NA,NA
47,11,65.54.225.100,0,0,NA,0,NA,NA,0,NA,NA
47,12,85.17.166.172,0,0,NA,7,2016-05-21,2017-07-10,7,2013-02-25,2021-10-22
63,13,88.80.7.152,0,0,NA,4,2015-04-27,2016-05-17,24,2018-06-01,2022-06-10
66,14,185.6.80.139,0,0,NA,80,2016-02-03,2022-05-29,314,2018-11-28,2021-08-06
83,15,79.3.197.89,0,5,2018-01-17,0,NA,NA,5,2017-12-21,2020-06-12
83,16,217.194.13.133,0,5,2018-01-17,0,NA,NA,20,2018-10-05,2020-11-18
86,17,82.146.54.187,0,2,2016-09-22,4321,2022-01-12,2022-03-01,614,2021-01-10,2021-08-15
90,18,46.161.20.36,0,0,NA,0,NA,NA,1,2017-03-31,2017-03-31
90,19,69.50.214.53,0,0,NA,0,NA,NA,3,2014-11-11,2014-12-04
90,20,69.50.214.54,0,0,NA,0,NA,NA,7,2014-02-13,2019-01-20
90,21,69.50.214.57,0,0,NA,1,2020-06-21,2020-06-21,0,NA,NA
90,22,86.55.210.10,0,0,NA,0,NA,NA,0,NA,NA
90,23,91.200.241.20,0,0,NA,0,NA,NA,0,NA,NA
90,24,91.200.241.200,0,0,NA,0,NA,NA,1,2020-01-11,2020-01-11
90,25,91.213.217.3,0,0,NA,0,NA,NA,0,NA,NA
90,26,91.213.217.30,0,0,NA,0,NA,NA,1,2020-01-13,2020-01-13
90,27,95.64.55.5,0,0,NA,373,2022-07-01,2022-07-05,1290,2020-03-10,2022-05-06
90,28,178.17.162.117,0,0,NA,0,NA,NA,0,NA,NA
90,29,178.17.164.6,0,0,NA,158,2022-05-09,2022-07-07,1293,2020-07-04,2022-06-24
97,30,199.71.233.126,0,0,NA,0,NA,NA,33,2015-02-13,2018-06-09
97,31,83.133.127.200,0,0,NA,5,2018-01-02,2019-10-19,0,NA,NA
99,32,146.185.220.23,0,0,NA,5,2015-06-03,2016-07-24,53,2015-12-03,2019-03-16
99,33,195.20.141.72,0,1,2020-11-25,2,2016-07-24,2022-04-11,56,2014-11-19,2020-11-25
101,34,91.121.151.137,0,0,NA,0,NA,NA,0,NA,NA
124,35,80.74.135.131,0,0,NA,6,2016-01-24,2019-02-15,1,2014-02-16,2014-02-16
126,36,6.3.1.8,0,0,NA,0,NA,NA,2,2020-05-04,2020-05-04
128,37,173.192.182.45,0,0,NA,1,2019-04-29,2019-04-29,27,2019-08-14,2020-06-23
129,38,152.160.131.83,0,0,NA,1,2015-03-29,2015-03-29,4,2012-11-30,2016-10-29
133,39,23.66.199.15,0,0,NA,0,NA,NA,0,NA,NA
146,40,50.16.5.200,0,0,NA,0,NA,NA,0,NA,NA
165,41,81.95.145.241,0,0,NA,2,2015-04-13,2016-11-03,4,2014-04-04,2018-11-14
168,42,220.196.42.133,0,0,NA,2,2019-03-26,2019-03-26,0,NA,NA
168,43,64.120.147.197,0,0,NA,0,NA,NA,0,NA,NA
247,44,222.175.169.73,0,0,NA,0,NA,NA,0,NA,NA
265,45,222.77.178.218,0,0,NA,57,2016-06-14,2016-11-19,44,2017-08-22,2019-11-11
268,46,255.255.255.255,0,0,NA,21,2014-12-05,2014-12-15,75,2019-11-10,2022-06-28
272,47,6.3.1.8,0,0,NA,0,NA,NA,2,2020-05-04,2020-05-04
272,48,6.8.0.19,0,0,NA,0,NA,NA,0,NA,NA
275,49,195.24.76.250,0,0,NA,0,NA,NA,2,2013-09-16,2015-06-12
275,50,67.215.237.98,0,0,NA,0,NA,NA,6,2017-12-03,2021-07-03
275,51,67.215.246.34,0,0,NA,0,NA,NA,5,2012-08-15,2016-10-11
275,52,94.229.65.172,0,0,NA,1,2019-09-17,2019-09-17,67,2014-02-17,2016-10-28
287,53,93.183.194.17,0,0,NA,9,2015-05-11,2022-05-23,3,2018-08-07,2021-10-22
288,54,6.3.1.8,0,0,NA,0,NA,NA,2,2020-05-04,2020-05-04
294,55,22.250.166.222,0,0,NA,0,NA,NA,0,NA,NA
294,56,167.156.220.15,0,0,NA,0,NA,NA,0,NA,NA
303,57,22.250.166.222,0,0,NA,0,NA,NA,0,NA,NA
303,58,167.156.220.15,0,0,NA,0,NA,NA,0,NA,NA
305,59,212.124.118.78,0,0,NA,0,NA,NA,0,NA,NA
306,60,22.250.166.222,0,0,NA,0,NA,NA,0,NA,NA
