report id,ip_id,ip,total_urls,url,date
4,1,212.124.118.78,0,NA,NA
7,2,87.98.184.231,4,https://87.98.184.231:443,2020-03-05
7,2,87.98.184.231,4,http://87.98.184.231:443,2020-03-05
7,2,87.98.184.231,4,http://elmartes.net/,2018-02-23
7,2,87.98.184.231,4,http://www.acheter-piscine.com/,2014-11-13
15,3,22.250.166.222,0,NA,NA
15,4,167.156.220.15,0,NA,NA
17,5,22.250.166.222,0,NA,NA
17,6,167.156.220.15,0,NA,NA
47,7,62.4.84.56,1,http://62.4.84.56/about:blank,2021-04-25
47,8,69.31.80.180,1,http://69.31.80.180/,2020-12-02
47,9,69.31.80.179,7,http://69.31.80.179/is6ge.dll,2013-03-09
47,9,69.31.80.179,7,http://69.31.80.179/kpv.dll,2012-08-28
47,9,69.31.80.179,7,http://69.31.80.179/5p4cx.dll,2012-08-28
47,9,69.31.80.179,7,http://69.31.80.179/4vbrt.dll,2012-08-28
47,9,69.31.80.179,7,http://69.31.80.179/kpv.dll,2012-06-22
47,9,69.31.80.179,7,http://69.31.80.179/5p4cx.dll,2012-06-22
47,9,69.31.80.179,7,http://69.31.80.179/4vbrt.dll,2012-06-22
47,10,72.247.31.80,0,NA,NA
47,11,65.54.225.100,0,NA,NA
47,12,85.17.166.172,7,http://85.17.166.172/cn?sid=51545f5a4f1f545b365c365836085b51363a0c1b1f000a0c4939080a02495a4f0a000d542a2d592d512b285028585b5c5d505d2f515e5f2c282b595c2f5b5a2a2f515f2a4f081d544f131854594f1d1954594f080f0f000d54585c5d5951504f04061b1901000d54001a015f4f1b0c1f000,2021-10-22
47,12,85.17.166.172,7,http://85.17.166.172/cn?sid=E5545C5A4F1F545B365C365836085B51363A0C1B1F000A0C4939080A02495A4F0A000D545B2F582B5F502A2C5D5A2B585D5C5A5B28585051282B595C2B5D2A2D592A5A5B4F081D544F131854594F1D1954594F080F0F000D54585C5D59585C4F04061B1901000D541D015B064F1B0C1F000D5451515E5A698C01,2021-04-28
47,12,85.17.166.172,7,http://85.17.166.172/cn?sid=24545c5a4f1f545b365c365836085b51363a0c1b1f000a0c4939080a02495a4f0a000d545b2a5d515f502a2c5d5a2b585d5c5a2d28585051282b595c2b5d2a2d5c2f5a584f081d544f131854594f1d1954594f080f0f000d54585c5f5f5e5f4f04061b1901000d541d015b064f1b0c1f000d5451515158694d01,2019-04-20
47,12,85.17.166.172,7,http://85.17.166.172/cn?sid=89545c5a4f1f545b365c365836085b51363a0c1b1f000a0c4939080a02495a4f0a000d545b2f582b5f502a2c5d5a2b585d5c5a5b28585051282b595c2b5d2a2d592a5a5b4f081d544f131854594f1d1954594f080f0f000d54585c5e5b5c504f04061b1901000d541d015b064f1b0c1f000d5451505,2018-11-09
47,12,85.17.166.172,7,http://85.17.166.172/cn,2016-04-27
47,12,85.17.166.172,7,http://85.17.166.172/,2014-05-02
47,12,85.17.166.172,7,http://85.17.166.172/cn?sid=51545F5A4F1F545B365C365836085B51363A0C1B1F000A0C4939080A02495A4F0A000D542A2D592D512B285028585B5C5D505D2F515E5F2C282B595C2F5B5A2A2F515F2A4F081D544F131854594F1D1954594F080F0F000D54585C5D5951504F04061B1901000D54001A015F4F1B0C1F000D545058585E693801,2013-02-25
63,13,88.80.7.152,24,http://88.80.7.152/s9.php?s=9,2022-06-10
63,13,88.80.7.152,24,http://88.80.7.152/babynot/blfp.php?dxrzz=77445=1x644413x640,2020-01-17
63,13,88.80.7.152,24,http://88.80.7.152/cgi/dsiy.php?dsydm=5561671,2020-01-17
63,13,88.80.7.152,24,http://88.80.7.152/cgi/ffffffff.php?fff=4x4x4x4x4x70x,2020-01-17
63,13,88.80.7.152,24,http://88.80.7.152/cgi/raqfv.php?aqf=4x4x4x4x4x70x,2020-01-17
63,13,88.80.7.152,24,http://88.80.7.152/babymaybe/hwmcr.php?wmcrx=06166,2020-01-17
63,13,88.80.7.152,24,http://88.80.7.152/cgi/scrhxm.php?rhxm=4x4x4x4x4x70x,2020-01-17
63,13,88.80.7.152,24,http://88.80.7.152/cgi/tjo.php?ddddd=4x4x4x4x4x70x,2020-01-11
63,13,88.80.7.152,24,http://88.80.7.152/cgi/nd.php?iy=4x4x4x4x4x70x,2020-01-11
63,13,88.80.7.152,24,http://88.80.7.152/80,2018-06-01
66,14,185.6.80.139,314,http://185.6.80.139,2021-08-06
66,14,185.6.80.139,314,https://185.6.80.139,2021-08-06
